Timestamp,Temperature (in Celsius),Pressure (in MPa)
16:20:49,28.50,0.108
16:20:50,28.50,0.106
16:20:50,28.50,0.107
16:20:51,28.56,0.105
16:20:51,28.62,0.105
16:20:52,28.56,0.105
16:20:52,28.56,0.109
16:20:53,28.56,0.105
16:20:53,28.62,0.107
16:20:53,28.62,0.110
16:20:54,28.62,0.108
16:20:54,28.69,0.107
16:20:55,28.62,0.111
16:20:55,28.69,0.105
16:20:56,28.69,0.109
16:20:56,28.69,0.105
16:20:57,28.69,0.109
16:20:57,28.75,0.107
16:20:58,28.75,0.108
16:20:58,28.75,0.105
16:20:59,28.75,0.107
16:20:59,28.75,0.106
16:21:00,28.81,0.108
16:21:00,28.87,0.105
16:21:01,28.81,0.108
16:21:01,28.87,0.105
16:21:02,28.87,0.108
16:21:02,28.87,0.109
16:21:03,28.87,0.107
16:21:03,28.94,0.108
16:21:04,28.94,0.105
16:21:04,28.94,0.106
16:21:05,28.94,0.109
16:21:05,28.94,0.108
16:21:05,28.94,0.109
16:21:06,28.94,0.106
16:21:06,29.00,0.106
16:21:07,29.00,0.108
16:21:07,29.06,0.107
16:21:08,29.06,0.108
16:21:08,29.06,0.108
16:21:09,29.06,0.108
16:21:09,29.12,0.106
16:21:10,29.12,0.107
16:21:10,29.12,0.107
16:21:11,29.12,0.108
16:21:11,29.12,0.108
16:21:12,29.12,0.108
16:21:12,29.19,0.109
16:21:13,29.19,0.106
16:21:13,29.19,0.106
16:21:14,29.25,0.108
16:21:14,29.25,0.108
16:21:15,29.31,0.109
16:21:15,29.25,0.104
16:21:16,29.25,0.105
16:21:16,29.25,0.109
16:21:17,29.31,0.105
16:21:17,29.31,0.108
16:21:18,29.37,0.105
16:21:18,29.37,0.106
16:21:19,29.37,0.108
16:21:19,29.37,0.107
16:21:19,29.44,0.109
16:21:20,29.44,0.107
16:21:20,29.50,0.109
16:21:21,29.50,0.107
16:21:21,29.50,0.106
16:21:22,29.50,0.107
16:21:22,29.50,0.109
16:21:23,29.50,0.105
16:21:23,29.56,0.107
16:21:24,29.50,0.104
16:21:24,29.56,0.108
16:21:25,29.56,0.109
16:21:25,29.62,0.109
16:21:26,29.62,0.109
16:21:26,29.62,0.111
16:21:27,29.62,0.107
16:21:27,29.69,0.109
16:21:28,29.69,0.106
16:21:28,29.69,0.107
16:21:29,29.69,0.108
16:21:29,29.75,0.106
16:21:30,29.75,0.105
16:21:30,29.75,0.109
16:21:31,29.81,0.107
16:21:31,29.81,0.105
16:21:32,29.81,0.109
16:21:32,29.81,0.106
16:21:33,29.87,0.106
16:21:33,29.87,0.108
16:21:33,29.94,0.109
16:21:34,29.94,0.105
16:21:34,29.94,0.105
16:21:35,29.94,0.107
16:21:35,29.94,0.107
16:21:36,30.00,0.109
16:21:36,30.00,0.108
16:21:37,30.00,0.103
